"","Entidad.federativa","UUID.Municipio","Clave.Estado","Clave.Municipio","Nombre.Municipio","Estimador","Porcentaje.obesidad","PIB.2019","ECI.valor","Ventas"
"1","Quintana Roo","23000","23","000","Total","Valor",48.9383,2.2264,-0.1393,333408.25
"2","Baja California","02000","02","000","Total","Valor",48.367,3.4277,1.2615,115506965.5
"3","Tabasco","27000","27","000","Total","Valor",47.2567,1.8008,-0.9561,NA
"4","Yucatán","31000","31","000","Total","Valor",45.1666,2.1126,-0.3903,84275582.25
"5","Campeche","04000","04","000","Total","Valor",44.9038,0.627,-0.62,26369889.25
"6","Sonora","26000","26","000","Total","Valor",43.8529,2.651,0.725,91504480.25
"7","Colima","06000","06","000","Total","Valor",43.1901,0.7711,-0.4218,NA
"8","Baja California Sur","03000","03","000","Total","Valor",42.8491,0.9426,-0.2001,NA
"9","Nuevo León","19000","19","000","Total","Valor",41.421,7.2098,1.7268,60921538.5
"10","Tamaulipas","28000","28","000","Total","Valor",40.8672,2.9686,0.8154,78645263.25
"11","Sinaloa","25000","25","000","Total","Valor",39.9497,2.718,-0.0081,608936.5
"12","Veracruz de Ignacio de la Llave","30000","30","000","Total","Valor",38.979,5.1277,-0.9134,2748749.25
"13","Chihuahua","08000","08","000","Total","Valor",38.6672,2.9456,1.1327,87361739.5
"14","Coahuila de Zaragoza","05000","05","000","Total","Valor",37.6067,2.4983,1.2703,190382214
"15","Durango","10000","10","000","Total","Valor",37.5827,1.0768,0.1006,45159677.25
"16","Nayarit","18000","18","000","Total","Valor",36.9909,0.7771,-1.0857,NA
"17","Ciudad de México","09000","09","000","Total","Valor",36.3398,15.7582,0.9468,124019535.25
"18","Jalisco","14000","14","000","Total","Valor",34.8291,7.5227,1.078,20152577
"19","Guerrero","12000","12","000","Total","Valor",34.7074,1.5782,-1.8444,NA
"20","Morelos","17000","17","000","Total","Valor",33.4678,1.2337,-0.6048,8414193.5
"21","Zacatecas","32000","32","000","Total","Valor",33.4587,0.8931,-0.4504,386489
"22","Puebla","21000","21","000","Total","Valor",32.8702,3.5189,-0.6889,148936678.5
"23","Estado de México","15000","15","000","Total","Valor",32.7295,11.7479,0.7089,148052707.5
"24","San Luis Potosí","24000","24","000","Total","Valor",32.6233,1.9127,0.8093,24901843.5
"25","Aguascalientes","01000","01","000","Total","Valor",32.5934,1.0376,0.789,57063098.25
"26","Tlaxcala","29000","29","000","Total","Valor",32.3174,0.5406,-0.781,11661311
"27","Michoacán de Ocampo","16000","16","000","Total","Valor",31.6442,3.0588,-0.8858,771817.5
"28","Hidalgo","13000","13","000","Total","Valor",31.169,1.7955,-0.508,31688194.5
"29","Querétaro","22000","22","000","Total","Valor",30.6095,1.9965,1.6515,33675785.5
"30","Oaxaca","20000","20","000","Total","Valor",30.4975,1.6881,-1.6659,NA
"31","Guanajuato","11000","11","000","Total","Valor",30.0126,3.8357,0.7629,51871110.25
"32","Chiapas","07000","07","000","Total","Valor",28.9546,2.0009,-1.6147,NA
