"","Entidad.federativa","UUID.Municipio","Clave.Estado","Clave.Municipio","Nombre.Municipio","Estimador","Porcentaje.obesidad","PIB.2019","ECI.valor","Ventas"
"1","Quintana Roo","23000","23","000","Total","Valor",48.9383,2.2264,-0.1393,333408.25
"2","Baja California","02000","02","000","Total","Valor",48.367,3.4277,1.2615,115506965.5
"3","Yucatán","31000","31","000","Total","Valor",45.1666,2.1126,-0.3903,84275582.25
"4","Campeche","04000","04","000","Total","Valor",44.9038,0.627,-0.62,26369889.25
"5","Sonora","26000","26","000","Total","Valor",43.8529,2.651,0.725,91504480.25
"6","Nuevo León","19000","19","000","Total","Valor",41.421,7.2098,1.7268,60921538.5
"7","Tamaulipas","28000","28","000","Total","Valor",40.8672,2.9686,0.8154,78645263.25
"8","Sinaloa","25000","25","000","Total","Valor",39.9497,2.718,-0.0081,608936.5
"9","Veracruz de Ignacio de la Llave","30000","30","000","Total","Valor",38.979,5.1277,-0.9134,2748749.25
"10","Chihuahua","08000","08","000","Total","Valor",38.6672,2.9456,1.1327,87361739.5
"11","Coahuila de Zaragoza","05000","05","000","Total","Valor",37.6067,2.4983,1.2703,190382214
"12","Durango","10000","10","000","Total","Valor",37.5827,1.0768,0.1006,45159677.25
"13","Ciudad de México","09000","09","000","Total","Valor",36.3398,15.7582,0.9468,124019535.25
"14","Jalisco","14000","14","000","Total","Valor",34.8291,7.5227,1.078,20152577
"15","Morelos","17000","17","000","Total","Valor",33.4678,1.2337,-0.6048,8414193.5
"16","Zacatecas","32000","32","000","Total","Valor",33.4587,0.8931,-0.4504,386489
"17","Puebla","21000","21","000","Total","Valor",32.8702,3.5189,-0.6889,148936678.5
"18","San Luis Potosí","24000","24","000","Total","Valor",32.6233,1.9127,0.8093,24901843.5
"19","Aguascalientes","01000","01","000","Total","Valor",32.5934,1.0376,0.789,57063098.25
"20","Tlaxcala","29000","29","000","Total","Valor",32.3174,0.5406,-0.781,11661311
"21","Michoacán de Ocampo","16000","16","000","Total","Valor",31.6442,3.0588,-0.8858,771817.5
"22","Hidalgo","13000","13","000","Total","Valor",31.169,1.7955,-0.508,31688194.5
"23","Querétaro","22000","22","000","Total","Valor",30.6095,1.9965,1.6515,33675785.5
"24","Guanajuato","11000","11","000","Total","Valor",30.0126,3.8357,0.7629,51871110.25
